"Date	Time	IPaddress"
"2022-10-03	20:59:45	192.168.0.102"
"2022-10-03	20:59:45	192.168.0.102"
"2022-10-03	20:59:45	192.168.0.102"
"2022-10-03	20:59:45	192.168.0.102"
"2022-10-03	20:59:45	192.168.0.102"
"2022-10-03	20:59:45	192.168.0.102"
"2022-10-03	20:59:45	192.168.0.102"
"2022-10-03	21:00:25	192.168.0.102"
"2022-10-03	21:00:25	192.168.0.102"
"2022-10-03	21:00:25	192.168.0.102"
"2022-10-03	21:00:25	192.168.0.102"
"2022-10-03	21:00:25	192.168.0.102"
"2022-10-03	21:00:25	192.168.0.102"
"2022-10-03	21:00:25	192.168.0.102"
"2022-10-03	21:00:35	192.168.0.102"
"2022-10-03	21:00:35	192.168.0.102"
"2022-10-03	21:00:35	192.168.0.102"
"2022-10-03	21:00:35	192.168.0.102"
"2022-10-03	21:00:35	192.168.0.102"
"2022-10-03	21:00:35	192.168.0.102"
"2022-10-03	21:00:35	192.168.0.102"
"2022-10-03	21:04:40	192.168.0.102"
"2022-10-03	21:04:40	192.168.0.102"
"2022-10-03	21:04:40	192.168.0.102"
"2022-10-03	21:04:40	192.168.0.102"
"2022-10-03	21:04:40	192.168.0.102"
"2022-10-03	21:04:40	192.168.0.102"
"2022-10-03	21:04:40	192.168.0.102"
"2022-10-05	17:00:12	192.168.0.102"
"2022-10-05	17:00:12	192.168.0.102"
"2022-10-05	17:00:12	192.168.0.102"
"2022-10-05	17:00:12	192.168.0.102"
"2022-10-05	17:00:12	192.168.0.102"
"2022-10-05	17:00:12	192.168.0.102"
"2022-10-05	17:00:12	192.168.0.102"
"2022-10-05	17:00:36	192.168.0.102"
"2022-10-05	17:00:36	192.168.0.102"
"2022-10-05	17:00:36	192.168.0.102"
"2022-10-05	17:00:36	192.168.0.102"
"2022-10-05	17:00:36	192.168.0.102"
"2022-10-05	17:00:36	192.168.0.102"
"2022-10-05	17:00:36	192.168.0.102"
"2022-10-05	17:28:56	192.168.0.102"
